popden,hospitals,entertainment,monuments,schools,rent,lat,long,railway,traffic,metro,city
28630,1,0,1,0,10800,12.96,77.53,1,1.25,y,bangalore
35341,0,0,0,0,12040,12.99,77.652,1,1,y,bangalore
2333,0,0,0,0,18000,12.996,77.668,1,1,y,bangalore
27542,1,0,1,1,11230,12.915,77.573,0,1.25,y,bangalore
268,0,0,0,0,8000,12.975,77.572,0,1,y,bangalore
4260,0,0,0,0,30000,12.897,77.461,0,1,y,bangalore
23760,1,1,1,0,18100,12.967,77.574,0,2.75,y,bangalore
37205,4,2,4,0,41600,12.98,77.597,0,2,y,bangalore
10524,1,0,0,0,8900,13.043,77.512,0,1,y,bangalore
23919,0,0,0,0,9330,12.952,77.537,1,1.25,y,bangalore
5404,2,0,0,0,37600,12.885,77.552,0,1,y,bangalore
14248,0,1,0,0,40000,12.993,77.703,0,1,y,bangalore
18879,1,2,0,0,27000,13.028,77.54,0,2,y,bangalore
213,1,1,0,1,35000,12.976,77.626,0,1.25,y,bangalore
12250,0,0,0,0,35000,12.988,77.711,0,1.25,y,bangalore
4701,0,0,0,0,12600,12.987,77.75,0,1.25,y,bangalore
3364,0,0,0,0,15000,12.974,77.546,0,1.25,y,bangalore
27551,3,0,0,1,42000,12.974,77.546,0,1.75,y,bangalore
6771,1,0,0,0,15000,13.039,77.519,0,1.5,y,bangalore
29167,5,3,7,2,16600,12.929,77.58,0,2.2,y,bangalore
20277,1,0,1,0,12700,12.907,77.5733,0,2,y,bangalore
13324,0,0,1,4,15900,12.925,77.512,0,1,y,bangalore
6102,0,0,0,0,13300,12.985,77.746,0,1,y,bangalore
8119,2,0,6,1,20000,12.96,77.574,0,1.5,y,bangalore
8243,0,0,0,0,17500,13,77.677,1,1.25,y,bangalore
3920,3,0,0,0,10800,12.907,77.476,0,1.5,y,bangalore
2131,1,0,0,0,10800,12.914,77.487,0,1.75,y,bangalore
12895,1,1,0,1,40000,12.889,77.562,0,2,y,bangalore
11774,0,0,0,0,41400,12.978,77.715,0,1.25,y,bangalore
