Location,Population density,Hospitals,Entertainment,Monuments,Education,2bhk rent,lat,long,traffic ,metro
T nagar,44963,5,4,0,0,29000,13.041,80.233,2.25,n
Vadapalani,36407,5,3,0,2,20000,13.05,80.212,2,y
Virugambakkam,30564,0,1,1,2,21000,13.053,80.192,1.75,n
Anna Nagar,40303,3,4,1,0,16000,13.085,80.209,2.5,y
Annavaram,16614,0,0,0,0,15000,13.098,80.243,2,n
Perambur,22459,1,1,0,0,13000,13.122,80.232,1.5,y
Kolathur,19631,1,1,0,0,12000,13.123,80.211,1,y
Puthagaram,7095,0,0,0,2,8000,13.119,80.189,1,n
Korattur,7095,0,1,0,0,13000,13.107,80.183,1,y
Thirumangalam,25388,0,0,0,2,20000,13.083,80.194,2,y
Kilpauk,25476,4,2,1,1,27000,13.077,80.242,1.75,y
Kodambakkam,39591,1,0,0,1,15000,13.051,80.225,2,y
Koyambedu,16578,1,2,0,1,17000,13.068,80.194,1.25,y
Nolambur,12738,1,1,0,0,13000,13.075,80.167,1,n
Vanagaram,7852,0,0,0,0,16000,13.057,80.154,1.25,n
Mugalivakkam,16952,0,0,0,0,14000,13.021,80.159,1.5,n
Thandalam,8103,0,1,0,1,12000,13.0005,80.118,1,n
Chennai Airport,1272,1,0,0,0,14000,12.981,80.16,1,y
Pazhavanthangal,19648,0,0,0,0,18000,12.989,80.19,1,y
Adambakkam,26916,1,0,0,0,16000,12.988,80.205,1,n
Puzhuthivakkam,5552,0,0,0,0,15000,12.972,80.196,1,n
Velachery,21114,2,2,0,0,19000,12.981,80.218,1.25,n
