Location,Population density,Hospitals,Entertainment,Monuments,Education,2bhk rent,lat,long,railway,traffic ,metro
Ameerpet,24642,5,3,0,1,"30,000",17.436,78.444,0,2.5,y
Assembly,22067,4,0,1,0,"11,000",17.398,78.47,1,1.25,y
Begumpet,11500,3,1,0,1,"22,000",17.438,78.456,1,2,y
Bharat Nagar,13289,1,0,0,1,"16,000",17.464,78.43,0,1,y
Chaitanyapuri,19674,1,0,0,0,"14,000",17.369,78.535,0,1,y
Chikkadpally,22822,0,0,0,0,"9,000",17.40088,78.494,0,1,y
Dilsukhnagar,22525,0,0,0,0,18000,17.368,78.525,0,1.5,y
B.R Ambedkar Balanagar,10715,1,0,1,0,20000,17.477,78.421,0,1.25,y
Durgam Cheruvu,12660,3,3,1,0,29000,17.443,78.388,0,1.25,y
Erragadda,17631,1,0,0,1,10000,17.457,78.433,0,1.5,y
ESI Hospital,16881,1,0,0,1,8000,17.447,78.438,0,1,y
Gandhi Bhavan,25319,1,0,0,0,14000,17.387,78.473,1,1,y
Gandhi Hospital,16719,2,0,0,1,"22,000",17.425,78.501,0,1,y
Habsiguda,9720,1,0,0,0,12000,17.421,78.54,0,1.25,y
HITEC City,12660,3,2,1,0,41000,17.449,78.383,0,2,y
Irrum Manzil,25129,10,2,2,0,16000,17.42,78.456,0,1.25,y
JBS Parade Ground,19717,2,1,1,0,14000,17.445,78.497,1,2,y
JNTU College,12225,3,1,0,1,22000,17.499,78.388,0,1.75,y
Jubilee Hills Check Post,11071,2,2,0,0,45000,17.428,78.413,0,1.5,y
Khairatabad,15615,9,2,2,1,19000,17.412,78.46,0,2,y
KPHB Colony,12225,3,2,0,2,24000,17.494,78.401,0,2,y
Kukatpally,12225,1,2,0,2,36000,17.485,78.411,0,2.25,y
LB Nagar,17996,4,1,1,0,23000,17.35,78.548,0,1.75,y
Lakdi-ka-pul,22067,5,1,0,0,18000,17.404,78.464,0,2,y
Madhapur,13851,1,1,0,2,36000,17.437,78.4,0,2,y
Malakpet,19022,1,0,0,0,13000,17.377,78.493,0,1,y
Mettuguda,9015,0,0,0,1,9000,17.436,78.519,0,1,y
MG Bus Station,23679,2,0,0,0,12000,17.3801,78.485,0,1.5,y
Miyapur,4717,0,0,0,0,27000,17.496,78.373,0,1.5,y
Moosapet,13411,0,0,0,0,14000,17.472,78.426,0,1,y
Musarambagh,21042,1,0,0,0,12000,17.372,78.511,0,1,y
Musheerabad,21296,0,0,0,0,14000,17.418,78.499,0,1,y
Nagole,8094,1,0,0,0,17000,17.391,78.558,0,1.25,y
Nampally,20643,4,1,1,0,18000,17.393,78.47,1,2,y
Narayanaguda,26878,0,0,0,0,12000,17.395,78.489,0,1,y
New Market,19022,1,1,0,0,8000,17.373,78.502,0,1.5,y
NGRI,9720,0,0,0,0,11000,17.415,78.546,0,1,y
Osmania Medical College,27610,3,0,0,2,15000,17.384,78.48,0,1.75,y
Parade Ground,14163,2,2,0,0,18000,17.443,78.496,1,2,y
Paradise,21179,4,2,0,0,19000,17.443,78.486,0,1.5,y
Peddamma Gudi,11071,0,1,1,0,30000,17.43,78.408,0,1.5,y
Prakash Nagar,11500,2,1,0,1,12000,17.445,78.465,1,1,y
Punjagutta,22185,4,3,1,1,27000,17.428,78.451,0,2.25,y
Raidurg,12660,4,2,0,0,32000,17.442,78.377,0,1.75,y
Rasoolpura,14501,3,1,0,0,14000,17.443,78.476,0,1,y
R.T.C. X Roads,28602,0,1,0,0,16000,17.408,78.496,0,1.25,y
S.R. Nagar,26673,1,0,0,1,22000,17.441,78.441,0,1,y
Secunderabad East,15245,2,1,0,0,18000,17.437,78.498,1,1.25,y
Secunderabad West,19717,2,1,0,0,18000,17.434,78.499,1,1,y
Stadium,11205,0,0,1,0,15000,17.407,78.554,0,1,y
